date,TWSE,TWSE_rate
10101,7517.08,-17.8
10102,8121.44,-5.56
10103,7933.0,-8.64
10104,7501.72,-16.72
10105,7301.5,-18.77
10106,7296.28,-15.68
10107,7270.49,-15.89
10108,7397.06,-4.45
10109,7715.16,6.78
10110,7166.05,-5.56
10111,7580.17,9.79
10112,7699.5,8.87
10201,7850.02,4.43
10202,7897.98,-2.75
10203,7918.61,-0.18
10204,8093.66,7.89
10205,8254.8,13.06
10206,8062.21,10.5
10207,8107.94,11.52
10208,8021.89,8.45
10209,8173.87,5.95
10210,8450.06,17.92
10211,8406.83,10.91
10212,8611.51,11.85
10301,8462.57,7.8
10302,8639.58,9.39
10303,8849.28,11.75
10304,8791.44,8.62
10305,9075.91,9.95
10306,9393.07,16.51
10307,9315.85,14.9
10308,9436.27,17.63
10309,8966.92,9.7
10310,8974.76,6.21
10311,9187.15,9.28
10312,9307.26,8.08
10401,9361.91,10.63
10402,9622.1,11.37
10403,9586.44,8.33
10404,9820.05,11.7
10405,9701.07,6.89
10406,9323.02,-0.75
10407,8665.34,-6.98
10408,8174.92,-13.37
10409,8181.24,-8.76
10410,8554.31,-4.68
10411,8320.61,-9.43
10412,8338.06,-10.41
10501,8145.21,-13.0
10502,8411.16,-12.58
10503,8744.83,-8.78
10504,8377.9,-14.69
10505,8535.59,-12.01
10506,8666.58,-7.04
10507,8984.41,3.68
10508,9068.85,10.94
10509,9166.85,12.05
10510,9290.12,8.6
10511,9240.71,11.06
10512,9253.5,10.98
10601,9447.95,15.99
10602,9750.47,15.92
10603,9811.52,12.2
10604,9872.0,17.83
10605,10040.72,17.63
10606,10395.07,19.94
10607,10427.33,16.06
10608,10585.78,16.73
10609,10383.94,13.28
10610,10793.8,16.19
10611,10560.44,14.28
10612,10642.86,15.01
10701,11103.79,17.53
10702,10815.47,10.92
10703,10919.49,11.29
10704,10657.88,7.96
10705,10874.96,8.31
10706,10836.91,4.25
10707,11057.51,6.04
10708,11063.94,4.52
10709,11006.34,5.99
10710,9802.13,-9.19
10711,9888.03,-6.37
10712,9727.41,-8.6
10801,9932.26,-10.55
10802,10389.17,-3.94
10803,10641.04,-2.55
10804,10967.73,2.91
10805,10498.49,-3.46
10806,10730.83,-0.98
10807,10823.81,-2.11
10808,10618.05,-4.03
10809,10829.68,-1.61
10810,11358.71,15.88
10811,11489.57,16.2
10812,11997.14,23.33
10901,11495.1,15.73
10902,11292.17,8.69
10903,9708.06,-8.77
10904,10992.14,0.22
10905,10942.16,4.23
10906,11621.24,8.3
10907,12664.8,17.01
10908,12591.45,18.59
10909,12515.61,15.57
10910,12546.34,10.46
10911,13722.89,19.44
10912,14732.53,22.8
11001,15138.31,31.69
11002,15953.8,41.28
11003,16431.13,69.25
11004,17566.66,59.81
11005,17068.43,55.99
11006,17755.46,52.78
11007,17247.41,36.18
11008,17490.29,38.91
11009,16934.77,35.31
11010,16987.41,35.4
11011,17427.76,27.0
11012,18218.84,23.66
