date,load_house,load_house_rate,load_archi,load_archi_rate
10101,5257667,2.32,1388397,10.27
10102,5244341,2.15,1399744,10.16
10103,5250654,1.6,1404131,9.12
10104,5267510,1.5,1404979,9.03
10105,5290918,1.65,1419785,9.31
10106,5319714,2.0,1455630,11.49
10107,5350711,2.33,1459706,11.92
10108,5365315,2.53,1462423,10.57
10109,5373751,2.45,1462538,9.48
10110,5385210,2.57,1459746,9.26
10111,5403458,2.86,1463083,8.9
10112,5420331,2.77,1467735,7.33
10201,5442934,3.52,1451950,4.58
10202,5429274,3.53,1451675,3.71
10203,5430781,3.43,1452136,3.42
10204,5443739,3.35,1455140,3.57
10205,5464223,3.28,1462149,2.98
10206,5484047,3.09,1473257,1.21
10207,5506914,2.92,1481464,1.49
10208,5519431,2.87,1477922,1.06
10209,5545912,3.2,1484497,1.5
10210,5565525,3.35,1496147,2.49
10211,5599203,3.62,1497936,2.38
10212,5646766,4.18,1494623,1.83
10301,5668653,4.15,1508727,3.91
10302,5664985,4.34,1520188,4.72
10303,5678845,4.57,1538785,5.97
10304,5700961,4.73,1543845,6.1
10305,5725398,4.78,1553815,6.27
10306,5750655,4.86,1567362,6.39
10307,5778242,4.93,1570189,5.99
10308,5792556,4.95,1587998,7.45
10309,5807074,4.71,1601849,7.91
10310,5817134,4.52,1610173,7.62
10311,5840807,4.31,1614555,7.79
10312,5866996,3.9,1624087,8.66
10401,5872739,3.6,1617117,7.18
10402,5872563,3.66,1621351,6.65
10403,5879500,3.53,1639051,6.52
10404,5892739,3.36,1638945,6.16
10405,5908784,3.2,1649953,6.19
10406,5926706,3.06,1660282,5.93
10407,5948789,2.95,1653292,5.29
10408,5962440,2.93,1655638,4.26
10409,5977626,2.94,1657466,3.47
10410,5998205,3.11,1650935,2.53
10411,6027726,3.2,1646334,1.97
10412,6132276,4.52,1608126,-0.98
10501,6137015,4.5,1606517,-0.66
10502,6124105,4.28,1610541,-0.67
10503,6123253,4.15,1624933,-0.86
10504,6139075,4.18,1621121,-1.09
10505,6167246,4.37,1616107,-2.05
10506,6199631,4.61,1614249,-2.77
10507,6230736,4.74,1621932,-1.9
10508,6244683,4.73,1628779,-1.62
10509,6276844,5.01,1628073,-1.77
10510,6298487,5.01,1641010,-0.6
10511,6324599,4.93,1643563,-0.17
10512,6365163,3.8,1648346,2.5
10601,6383156,4.01,1646105,2.46
10602,6380070,4.18,1651753,2.56
10603,6398313,4.49,1659162,2.11
10604,6420921,4.59,1660574,2.43
10605,6445904,4.52,1662880,2.89
10606,6483057,4.57,1668833,3.38
10607,6507159,4.44,1671824,3.08
10608,6530079,4.57,1682645,3.31
10609,6556400,4.45,1695435,4.14
10610,6574271,4.38,1703302,3.8
10611,6610118,4.51,1711375,4.13
10612,6647782,4.44,1738404,5.46
10701,6673401,4.55,1728234,4.99
10702,6677633,4.66,1726934,4.55
10703,6699705,4.71,1733515,4.48
10704,6718428,4.63,1749697,5.37
10705,6751861,4.75,1754681,5.52
10706,6784321,4.65,1773012,6.24
10707,6817570,4.77,1775669,6.21
10708,6836707,4.7,1782476,5.93
10709,6870590,4.79,1802026,6.29
10710,6905193,5.03,1814468,6.53
10711,6941422,5.01,1832060,7.05
10712,6977419,4.96,1858113,6.89
10801,6994825,4.82,1866557,8.0
10802,7003926,4.89,1864335,7.96
10803,7025838,4.87,1886341,8.82
10804,7056335,5.03,1907410,9.01
10805,7100128,5.16,1924464,9.68
10806,7143222,5.29,1953178,10.16
10807,7199256,5.6,1965246,10.68
10808,7219483,5.6,1985674,11.4
10809,7256032,5.61,2001068,11.05
10810,7306910,5.82,2036732,12.25
10811,7356081,5.97,2061770,12.54
10812,7412548,6.24,2094370,12.71
10901,7425175,6.15,2104306,12.74
10902,7455838,6.45,2127942,14.14
10903,7494135,6.67,2155961,14.29
10904,7531286,6.73,2179008,14.24
10905,7568383,6.6,2208769,14.77
10906,7613848,6.59,2246172,15.0
10907,7670086,6.54,2268841,15.45
10908,7737736,7.18,2293294,15.49
10909,7811290,7.65,2323405,16.11
10910,7876884,7.8,2365151,16.12
10911,7949340,8.06,2410191,16.9
10912,8042296,8.5,2461246,17.52
11001,8105757,9.17,2497809,18.7
11002,8131946,9.07,2514794,18.18
11003,8187509,9.25,2539403,17.79
11004,8247293,9.51,2559176,17.45
11005,8324555,9.99,2582035,16.9
11006,8406898,10.42,2620935,16.68
11007,8452189,10.2,2656000,17.06
11008,8483391,9.64,2682617,16.98
11009,8544347,9.38,2701827,16.29
11010,8614600,9.37,2725781,15.25
11011,8699427,9.44,2753666,14.25
11012,8803024,9.46,2808431,14.11
