月份,住宅貸款原始值,年增率(%),建築貸款原始值,年增率(%)
2012M01,5257667,2.32,1388397,10.27
2012M02,5244341,2.15,1399744,10.16
2012M03,5250654,1.6,1404131,9.12
2012M04,5267510,1.5,1404979,9.03
2012M05,5290918,1.65,1419785,9.31
2012M06,5319714,2,1455630,11.49
2012M07,5350711,2.33,1459706,11.92
2012M08,5365315,2.53,1462423,10.57
2012M09,5373751,2.45,1462538,9.48
2012M10,5385210,2.57,1459746,9.26
2012M11,5403458,2.86,1463083,8.9
2012M12,5420331,2.77,1467735,7.33
2013M01,5442934,3.52,1451950,4.58
2013M02,5429274,3.53,1451675,3.71
2013M03,5430781,3.43,1452136,3.42
2013M04,5443739,3.35,1455140,3.57
2013M05,5464223,3.28,1462149,2.98
2013M06,5484047,3.09,1473257,1.21
2013M07,5506914,2.92,1481464,1.49
2013M08,5519431,2.87,1477922,1.06
2013M09,5545912,3.2,1484497,1.5
2013M10,5565525,3.35,1496147,2.49
2013M11,5599203,3.62,1497936,2.38
2013M12,5646766,4.18,1494623,1.83
2014M01,5668653,4.15,1508727,3.91
2014M02,5664985,4.34,1520188,4.72
2014M03,5678845,4.57,1538785,5.97
2014M04,5700961,4.73,1543845,6.1
2014M05,5725398,4.78,1553815,6.27
2014M06,5750655,4.86,1567362,6.39
2014M07,5778242,4.93,1570189,5.99
2014M08,5792556,4.95,1587998,7.45
2014M09,5807074,4.71,1601849,7.91
2014M10,5817134,4.52,1610173,7.62
2014M11,5840807,4.31,1614555,7.79
2014M12,5866996,3.9,1624087,8.66
2015M01,5872739,3.6,1617117,7.18
2015M02,5872563,3.66,1621351,6.65
2015M03,5879500,3.53,1639051,6.52
2015M04,5892739,3.36,1638945,6.16
2015M05,5908784,3.2,1649953,6.19
2015M06,5926706,3.06,1660282,5.93
2015M07,5948789,2.95,1653292,5.29
2015M08,5962440,2.93,1655638,4.26
2015M09,5977626,2.94,1657466,3.47
2015M10,5998205,3.11,1650935,2.53
2015M11,6027726,3.2,1646334,1.97
2015M12,6132276,4.52,1608126,-0.98
2016M01,6137015,4.5,1606517,-0.66
2016M02,6124105,4.28,1610541,-0.67
2016M03,6123253,4.15,1624933,-0.86
2016M04,6139075,4.18,1621121,-1.09
2016M05,6167246,4.37,1616107,-2.05
2016M06,6199631,4.61,1614249,-2.77
2016M07,6230736,4.74,1621932,-1.9
2016M08,6244683,4.73,1628779,-1.62
2016M09,6276844,5.01,1628073,-1.77
2016M10,6298487,5.01,1641010,-0.6
2016M11,6324599,4.93,1643563,-0.17
2016M12,6365163,3.8,1648346,2.5
2017M01,6383156,4.01,1646105,2.46
2017M02,6380070,4.18,1651753,2.56
2017M03,6398313,4.49,1659162,2.11
2017M04,6420921,4.59,1660574,2.43
2017M05,6445904,4.52,1662880,2.89
2017M06,6483057,4.57,1668833,3.38
2017M07,6507159,4.44,1671824,3.08
2017M08,6530079,4.57,1682645,3.31
2017M09,6556400,4.45,1695435,4.14
2017M10,6574271,4.38,1703302,3.8
2017M11,6610118,4.51,1711375,4.13
2017M12,6647782,4.44,1738404,5.46
2018M01,6673401,4.55,1728234,4.99
2018M02,6677633,4.66,1726934,4.55
2018M03,6699705,4.71,1733515,4.48
2018M04,6718428,4.63,1749697,5.37
2018M05,6751861,4.75,1754681,5.52
2018M06,6784321,4.65,1773012,6.24
2018M07,6817570,4.77,1775669,6.21
2018M08,6836707,4.7,1782476,5.93
2018M09,6870590,4.79,1802026,6.29
2018M10,6905193,5.03,1814468,6.53
2018M11,6941422,5.01,1832060,7.05
2018M12,6977419,4.96,1858113,6.89
2019M01,6994825,4.82,1866557,8
2019M02,7003926,4.89,1864335,7.96
2019M03,7025838,4.87,1886341,8.82
2019M04,7056335,5.03,1907410,9.01
2019M05,7100128,5.16,1924464,9.68
2019M06,7143222,5.29,1953178,10.16
2019M07,7199256,5.6,1965246,10.68
2019M08,7219483,5.6,1985674,11.4
2019M09,7256032,5.61,2001068,11.05
2019M10,7306910,5.82,2036732,12.25
2019M11,7356081,5.97,2061770,12.54
2019M12,7412548,6.24,2094370,12.71
2020M01,7425175,6.15,2104306,12.74
2020M02,7455838,6.45,2127942,14.14
2020M03,7494135,6.67,2155961,14.29
2020M04,7531286,6.73,2179008,14.24
2020M05,7568383,6.6,2208769,14.77
2020M06,7613848,6.59,2246172,15
2020M07,7670086,6.54,2268841,15.45
2020M08,7737736,7.18,2293294,15.49
2020M09,7811290,7.65,2323405,16.11
2020M10,7876884,7.8,2365151,16.12
2020M11,7949340,8.06,2410191,16.9
2020M12,8042296,8.5,2461246,17.52
2021M01,8105757,9.17,2497809,18.7
2021M02,8131946,9.07,2514794,18.18
2021M03,8187509,9.25,2539403,17.79
2021M04,8247293,9.51,2559176,17.45
2021M05,8324555,9.99,2582035,16.9
2021M06,8406898,10.42,2620935,16.68
2021M07,8452189,10.2,2656000,17.06
2021M08,8483391,9.64,2682617,16.98
2021M09,8544347,9.38,2701827,16.29
2021M10,8614600,9.37,2725781,15.25
2021M11,8699427,9.44,2753666,14.25
2021M12,8803024,9.46,2808431,14.11
