date,NonPerforming_Loans_Ratio
10101,0.42
10102,0.42
10103,0.43
10104,0.6
10105,0.56
10106,0.54
10107,0.53
10108,0.52
10109,0.5
10110,0.47
10111,0.45
10112,0.39
10201,0.38
10202,0.4
10203,0.4
10204,0.42
10205,0.42
10206,0.42
10207,0.43
10208,0.43
10209,0.43
10210,0.41
10211,0.39
10212,0.36
10301,0.35
10302,0.33
10303,0.32
10304,0.31
10305,0.29
10306,0.27
10307,0.26
10308,0.26
10309,0.29
10310,0.28
10311,0.27
10312,0.24
10401,0.26
10402,0.26
10403,0.25
10404,0.25
10405,0.25
10406,0.24
10407,0.24
10408,0.24
10409,0.24
10410,0.24
10411,0.23
10412,0.22
10501,0.23
10502,0.24
10503,0.24
10504,0.26
10505,0.26
10506,0.26
10507,0.27
10508,0.27
10509,0.27
10510,0.28
10511,0.28
10512,0.26
10601,0.26
10602,0.28
10603,0.28
10604,0.29
10605,0.29
10606,0.29
10607,0.28
10608,0.28
10609,0.27
10610,0.28
10611,0.29
10612,0.26
10701,0.27
10702,0.27
10703,0.26
10704,0.27
10705,0.26
10706,0.26
10707,0.26
10708,0.25
10709,0.25
10710,0.25
10711,0.25
10712,0.23
10801,0.23
10802,0.24
10803,0.24
10804,0.24
10805,0.23
10806,0.22
10807,0.23
10808,0.22
10809,0.23
10810,0.22
10811,0.22
10812,0.2
10901,0.22
10902,0.22
10903,0.23
10904,0.23
10905,0.23
10906,0.24
10907,0.24
10908,0.23
10909,0.23
10910,0.24
10911,0.22
10912,0.21
11001,0.21
11002,0.21
11003,0.22
11004,0.21
11005,0.21
11006,0.2
11007,0.2
11008,0.19
11009,0.18
11010,0.18
11011,0.18
11012,0.17
