district,household,pop,sex_ratio,year
松山,79641,211009,0.899629993067997,102
信義,88041,227907,0.925280462255863,102
大安,118946,313542,0.884606599747551,102
中山,96120,227037,0.881205100797932,102
中正,63976,162295,0.924385790172643,102
大同,49858,128921,0.963941868259095,102
萬華,76559,192703,0.984439844707385,102
文山,100854,269516,0.934149527076486,102
南港,44255,118540,0.958367751528168,102
內湖,102277,280219,0.925268639898865,102
士林,104103,289164,0.941297313264498,102
北投,92776,254180,0.941461328119033,102
松山,79797,210411,0.897320985761819,103
信義,88435,228621,0.922897707201373,103
大安,119437,313461,0.882038257862315,103
中山,97352,228926,0.878829660634413,103
中正,64607,163235,0.920411764705882,103
大同,50580,129949,0.959512643816819,103
萬華,77223,193458,0.980873002058098,103
文山,101965,271555,0.931483562598688,103
南港,45109,119955,0.958193215580006,103
內湖,103858,283085,0.922061080104833,103
士林,104779,289898,0.939882629265061,103
北投,93862,255586,0.938680926916221,103
松山,80051,210433,0.894802715698104,104
信義,89207,229854,0.92192046556741,104
大安,120229,313926,0.88023550409976,104
中山,98459,230833,0.876355448618946,104
中正,65110,163403,0.916525920713113,104
大同,51197,131036,0.95593635250918,104
萬華,78148,194833,0.976896149358226,104
文山,103349,274129,0.928950905265528,104
南港,45923,121386,0.954497150033813,104
內湖,105468,286047,0.919817177527064,104
士林,105599,290649,0.936949785078804,104
北投,95094,257604,0.935068056849253,104
松山,80250,209689,0.891646368967073,105
信義,89499,229139,0.919408611157648,105
大安,120378,312909,0.878915796489669,105
中山,99113,231286,0.875236141628222,105
中正,65275,162549,0.914728956109972,105
大同,51522,131029,0.954868933414892,105
萬華,78341,194314,0.974093790637191,105
文山,104436,275433,0.9268864294609,105
南港,46452,122296,0.954765596278951,105
內湖,106574,287726,0.918684982662043,105
士林,106295,290682,0.934732834589068,105
北投,95724,257922,0.933491757685705,105
松山,80325,208289,0.887513479714728,106
信義,89502,227666,0.9163482096261,106
大安,120529,311404,0.877647002074188,106
中山,99650,231332,0.873619075387955,106
中正,65013,160484,0.91380461743942,106
大同,51564,129943,0.953266392087304,106
萬華,78519,193415,0.968219886230652,106
文山,105011,275233,0.923670471144908,106
南港,46800,122444,0.957131211738568,106
內湖,107228,287861,0.916977438001119,106
士林,106819,289916,0.933495171530705,106
北投,96433,257384,0.932384849281129,106
松山,80849,207107,0.883236037608889,107
信義,89482,225561,0.913106536729345,107
大安,120762,309835,0.876309574274814,107
中山,100269,230558,0.869257835935853,107
中正,65142,159598,0.913300965054247,107
大同,51809,129208,0.952401819308239,107
萬華,78630,191747,0.965527138537235,107
文山,105573,274379,0.922498598654708,107
南港,47069,122187,0.956306638060777,107
內湖,108019,287842,0.914836151727625,107
士林,107080,288340,0.932560773721356,107
北投,96793,256359,0.928584325113221,107
松山,81155,205633,0.88177641934185,108
信義,89553,223113,0.91049210929673,108
大安,121333,308686,0.873310636541834,108
中山,100485,229309,0.868143416947054,108
中正,65464,158903,0.913041907949388,108
大同,51853,127651,0.948067208936774,108
萬華,78768,189387,0.961299475984342,108
文山,106712,273686,0.919633588642931,108
南港,47391,121576,0.955100990608517,108
內湖,108732,287442,0.913142446387924,108
士林,107515,286339,0.92984619946891,108
北投,97367,255183,0.927247598332427,108
松山,81289,204043,0.878209081620442,109
信義,89351,219744,0.905796033060718,109
大安,121609,307526,0.869720386437009,109
中山,100682,227266,0.86636992994933,109
中正,65697,157743,0.908797192642788,109
大同,51900,125909,0.942350708853339,109
萬華,79252,186848,0.959786450739976,109
文山,107333,271674,0.916476787742404,109
南港,47575,120161,0.955172638224478,109
內湖,109495,285526,0.910269018993905,109
士林,108095,283282,0.929359041593168,109
北投,97928,253155,0.924035721071632,109
松山,80890,199971,0.87646385406501,110
信義,88858,214669,0.903988576192715,110
大安,121031,301912,0.870988132494655,110
中山,100705,223438,0.86299245424605,110
中正,65758,155257,0.908201516659907,110
大同,52156,123648,0.94067237969677,110
萬華,79333,182625,0.957458439178109,110
文山,107720,267830,0.914397832784143,110
南港,48003,118548,0.951246810962061,110
內湖,109861,281975,0.910089145396412,110
士林,108081,277933,0.928055108496587,110
北投,98108,249829,0.922678508211609,110
