,年,月,分類,隸屬區,人數(對數)
0,106,4.0,遷出統計,板橋區,1499
1,106,4.0,遷出統計,三重區,1102
2,106,4.0,遷出統計,中和區,1320
3,106,4.0,遷出統計,永和區,864
4,106,4.0,遷出統計,新莊區,1101
5,106,4.0,遷出統計,新店區,975
6,106,4.0,遷出統計,土城區,682
7,106,4.0,遷出統計,蘆洲區,556
8,106,4.0,遷出統計,樹林區,599
9,106,4.0,遷出統計,鶯歌區,287
10,106,4.0,遷出統計,三峽區,315
11,106,4.0,遷出統計,淡水區,458
12,106,4.0,遷出統計,汐止區,645
13,106,4.0,遷出統計,瑞芳區,127
14,106,4.0,遷出統計,五股區,250
15,106,4.0,遷出統計,泰山區,246
16,106,4.0,遷出統計,林口區,329
17,106,4.0,遷出統計,八里區,153
18,106,4.0,遷出統計,深坑區,80
19,106,4.0,遷出統計,石碇區,31
20,106,4.0,遷出統計,坪林區,24
21,106,4.0,遷出統計,三芝區,67
22,106,4.0,遷出統計,石門區,38
23,106,4.0,遷出統計,金山區,57
24,106,4.0,遷出統計,萬里區,70
25,106,4.0,遷出統計,平溪區,7
26,106,4.0,遷出統計,雙溪區,22
27,106,4.0,遷出統計,貢寮區,38
28,106,4.0,遷出統計,烏來區,24
29,總計,,,,11966
