,臺北市110年各行政區遷出人口數,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,,,,,,,,,,,單位：,人
1,行政區,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2,合計,184155,12195,11884,16664,14549,13179,11392,15198,19181,21658,14978,15676,17601
3,松山,15810,977,965,1403,1143,1102,874,1358,1709,2033,1232,1342,1672
4,信義,15538,1078,953,1613,1298,1126,882,1247,1595,1826,1235,1261,1424
5,大安,24692,1632,1660,1904,2027,1856,1906,2274,2690,2951,1921,1795,2076
6,中山,18945,1226,1150,1689,1501,1442,1141,1483,1847,2147,1603,1616,2100
7,中正,13938,840,843,1191,1046,945,949,1134,1466,1760,1348,1136,1280
8,大同,9255,607,617,775,661,681,546,675,1146,1166,714,865,802
9,萬華,12506,844,772,1282,1026,913,690,1015,1273,1307,1104,1135,1145
10,文山,16149,1045,995,1493,1281,1141,960,1328,1769,1817,1276,1434,1610
11,南港,8328,568,574,806,692,542,471,669,872,934,639,688,873
12,內湖,17347,1291,1178,1597,1321,1259,989,1447,1869,2016,1281,1585,1514
13,士林,17424,1149,1186,1578,1452,1170,1004,1374,1616,1845,1296,1812,1942
14,北投,14223,938,991,1333,1101,1002,980,1194,1329,1856,1329,1007,1163
15,註:本表係依據戶籍資料產製，表列各區遷出人口數係指遷往本市他區、遷往外縣市、遷出國外及廢止戶籍等人口數之總計。,,,,,,,,,,,,,
