district,out,year,in
松山,13174,102,
信義,12360,102,
大安,19998,102,
中山,14887,102,
中正,11653,102,
大同,7395,102,
萬華,10327,102,
文山,12916,102,
南港,6878,102,
內湖,14384,102,
士林,13880,102,
北投,11876,102,
松山,12675,103,
信義,12176,103,
大安,19518,103,
中山,14601,103,
中正,12347,103,
大同,7360,103,
萬華,10433,103,
文山,12760,103,
南港,6614,103,
內湖,13639,103,
士林,13713,103,
北投,11393,103,
松山,12756,105,
信義,11977,105,
大安,18658,105,
中山,13872,105,
中正,12345,105,
大同,7674,105,
萬華,10396,105,
文山,13073,105,
南港,6746,105,
內湖,13698,105,
士林,13320,105,
北投,11682,105,
松山,12321,104,
信義,12223,104,
大安,18604,104,
中山,13622,104,
中正,11828,104,
大同,7556,104,
萬華,9955,104,
文山,12511,104,
南港,6473,104,
內湖,13435,104,
士林,13015,104,
北投,11572,104,
松山,11911,106,
信義,11918,106,
大安,18244,106,
中山,13555,106,
中正,11526,106,
大同,7451,106,
萬華,10404,106,
文山,13075,106,
南港,6775,106,
內湖,13286,106,
士林,13139,106,
北投,11411,106,
松山,12188,107,
信義,12687,107,
大安,18500,107,
中山,14401,107,
中正,11609,107,
大同,8373,107,
萬華,11012,107,
文山,13136,107,
南港,7220,107,
內湖,13716,107,
士林,13395,107,
北投,11681,107,
松山,12519,108,
信義,12705,108,
大安,18711,108,
中山,14642,108,
中正,12361,108,
大同,8193,108,
萬華,11073,108,
文山,14005,108,
南港,7417,108,
內湖,14540,108,
士林,13957,108,
北投,12386,108,
松山,13888,109,
信義,13385,109,
大安,20773,109,
中山,15366,109,
中正,13265,109,
大同,8670,109,
萬華,11627,109,
文山,14520,109,
南港,7676,109,
內湖,15237,109,
士林,14888,109,
北投,12707,109,
松山,15810,110,
信義,15538,110,
大安,24692,110,
中山,18945,110,
中正,13938,110,
大同,9255,110,
萬華,12506,110,
文山,16149,110,
南港,8328,110,
內湖,17347,110,
士林,17424,110,
北投,14223,110,
松山,,102,12056
信義,,102,12254
大安,,102,19017
中山,,102,15879
中正,,102,12093
大同,,102,7989
萬華,,102,10766
文山,,102,13841
南港,,102,7458
內湖,,102,15559
士林,,102,13736
北投,,102,12039
松山,,103,12024
信義,,103,12301
大安,,103,18975
中山,,103,15164
中正,,103,12060
大同,,103,7858
萬華,,103,11095
文山,,103,14195
南港,,103,7395
內湖,,103,14762
士林,,103,13135
北投,,103,12217
松山,,104,10899
信義,,104,10772
大安,,104,16960
中山,,104,13414
中正,,104,10348
大同,,104,7067
萬華,,104,9111
文山,,104,12545
南港,,104,6696
內湖,,104,13328
士林,,104,11936
北投,,104,10653
松山,,105,10732
信義,,105,9814
大安,,105,16277
中山,,105,12845
中正,,105,9774
大同,,105,6322
萬華,,105,9292
文山,,105,11921
南港,,105,6327
內湖,,105,12154
士林,,105,11394
北投,,105,10229
松山,,106,10168
信義,,106,9289
大安,,106,16253
中山,,106,12411
中正,,106,10315
大同,,106,6313
萬華,,106,8471
文山,,106,11369
南港,,106,5828
內湖,,106,11820
士林,,106,10762
北投,,106,9674
松山,,107,10685
信義,,107,10022
大安,,107,17091
中山,,107,12690
中正,,107,10750
大同,,107,6565
萬華,,107,8814
文山,,107,11807
南港,,107,6318
內湖,,107,12140
士林,,107,11103
北投,,107,10301
松山,,108,10806
信義,,108,9174
大安,,108,17392
中山,,108,12238
中正,,108,11214
大同,,108,6522
萬華,,108,8634
文山,,108,11705
南港,,108,5676
內湖,,108,11784
士林,,108,10483
北投,,108,9908
松山,,109,9945
信義,,109,8450
大安,,109,15634
中山,,109,11645
中正,,109,10597
大同,,109,6489
萬華,,109,8007
文山,,109,10677
南港,,109,5978
內湖,,109,11131
士林,,109,9693
北投,,109,9316
松山,,110,9077
信義,,110,7986
大安,,110,13833
中山,,110,10745
中正,,110,9252
大同,,110,6435
萬華,,110,6829
文山,,110,9712
南港,,110,5365
內湖,,110,10927
士林,,110,8966
北投,,110,8931
